[2025-10-20 22:02:53.143] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:54.139] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:55.142] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:56.138] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:57.141] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:58.136] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:59.139] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:00.134] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:01.138] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:02.133] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:03.135] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:03:04.131] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
